id,fileName,avgCghSetSize,avgChurn,avgLoc,cghSetSize,churn,locAdded,maxCghSetSize,maxChurn,maxLoc,bug
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerMetadata.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/OrderedSafeExecutor.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/tools/BookKeeperTools.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerMetadata.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/test/java/org/apache/hedwig/server/TestPubSubServerStartup.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/EntryLogTest.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerMetadata.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-client/src/main/java/org/apache/hedwig/client/HedwigClient.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-client/src/main/java/org/apache/hedwig/client/api/Client.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-client/src/main/java/org/apache/hedwig/client/api/MessageHandler.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-client/src/main/java/org/apache/hedwig/client/api/Publisher.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-client/src/main/java/org/apache/hedwig/client/api/Subscriber.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkPublisher.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkSubscriber.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkUtils.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkWorker.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/HedwigBenchmark.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-client/src/main/java/org/apache/hedwig/client/conf/ClientConfiguration.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-client/src/main/java/org/apache/hedwig/client/data/MessageConsumeData.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-client/src/main/java/org/apache/hedwig/client/data/PubSubData.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-client/src/main/java/org/apache/hedwig/client/data/TopicSubscriber.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/InvalidSubscriberIdException.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/ServerRedirectLoopException.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/TooManyServerRedirectsException.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/MessageConsumeCallback.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PubSubCallback.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PublishResponseHandler.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeResponseHandler.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/UnsubscribeResponseHandler.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigClientImpl.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigPublisher.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigSubscriber.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslClientContextFactory.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslContextFactory.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-client/src/main/java/org/apache/hedwig/conf/AbstractConfiguration.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-client/src/main/java/org/apache/hedwig/util/Callback.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-client/src/main/java/org/apache/hedwig/util/CallbackUtils.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-client/src/main/java/org/apache/hedwig/util/ConcurrencyUtils.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-client/src/main/java/org/apache/hedwig/util/Either.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-client/src/main/java/org/apache/hedwig/util/FileUtils.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-client/src/main/java/org/apache/hedwig/util/HedwigSocketAddress.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-client/src/main/java/org/apache/hedwig/util/Option.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-client/src/main/java/org/apache/hedwig/util/Pair.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-client/src/main/java/org/apache/hedwig/util/PathUtils.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-client/src/test/java/org/apache/hedwig/util/TestFileUtils.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-client/src/test/java/org/apache/hedwig/util/TestHedwigSocketAddress.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-client/src/test/java/org/apache/hedwig/util/TestPathUtils.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-protocol/src/main/java/org/apache/hedwig/exceptions/PubSubException.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/MessageIdUtils.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/PubSubResponseUtils.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/SubscriptionStateUtils.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/AbstractBenchmark.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookieBenchmark.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookkeeperBenchmark.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/FakeBookie.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/common/ByteStringInterner.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/common/ServerConfiguration.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/common/TerminateJVMExceptionHandler.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/common/TopicOpQueuer.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/common/UnexpectedError.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/ChannelEndPoint.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryCallback.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryEndPoint.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryManager.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/FIFODeliveryManager.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/BaseHandler.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/ChannelDisconnectListener.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/ConsumeHandler.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/Handler.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/PublishHandler.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/SubscribeHandler.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/UnsubscribeHandler.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServer.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServerPipelineFactory.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/netty/UmbrellaHandler.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/BookkeeperPersistenceManager.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/CacheKey.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/CacheValue.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/Factory.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/LocalDBPersistenceManager.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/MapMethods.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistRequest.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistenceManager.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistenceManagerWithRangeScan.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/RangeScanRequest.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ReadAheadCache.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanCallback.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanCallbackWithContext.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanRequest.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ChannelTracker.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/HedwigProxy.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyConfiguration.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyConsumeHandler.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyPublishHander.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyStartDeliveryHandler.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyStopDeliveryHandler.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxySubscribeHandler.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyUnsubscribeHandler.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubClient.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubClientFactory.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubSubscriber.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/regions/RegionManager.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/ssl/SslServerContextFactory.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AbstractSubscriptionManager.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AllToAllTopologyFilter.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/InMemorySubscriptionManager.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/InMemorySubscriptionState.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/SubscriptionEventListener.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/SubscriptionManager.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/topics/AbstractTopicManager.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/topics/TopicManager.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/topics/TopicOwnershipChangeListener.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/topics/TrivialOwnAllTopicManager.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/topics/ZkTopicManager.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsynBKCallback.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsyncCallback.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsyncZKCallback.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/main/java/org/apache/hedwig/zookeeper/ZkUtils.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/test/java/org/apache/hedwig/HelperMethods.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/test/java/org/apache/hedwig/StubCallback.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/test/java/org/apache/hedwig/StubScanCallback.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/test/java/org/apache/hedwig/client/TestPubSubClient.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/test/java/org/apache/hedwig/server/HedwigHubTestBase.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/test/java/org/apache/hedwig/server/HedwigRegionTestBase.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/test/java/org/apache/hedwig/server/PubSubServerStandAloneTestBase.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/test/java/org/apache/hedwig/server/TestPubSubServerStartup.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/test/java/org/apache/hedwig/server/delivery/StubDeliveryManager.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/test/java/org/apache/hedwig/server/handlers/TestBaseHandler.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/test/java/org/apache/hedwig/server/handlers/TestSubUnsubHandler.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/test/java/org/apache/hedwig/server/integration/TestHedwigHub.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/test/java/org/apache/hedwig/server/integration/TestHedwigRegion.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/test/java/org/apache/hedwig/server/netty/TestPubSubServer.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/test/java/org/apache/hedwig/server/netty/WriteRecordingChannel.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/test/java/org/apache/hedwig/server/persistence/BookKeeperTestBase.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/test/java/org/apache/hedwig/server/persistence/StubPersistenceManager.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/test/java/org/apache/hedwig/server/persistence/StubScanCallback.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestBookKeeperPersistenceManagerBlackBox.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestBookkeeperPersistenceManagerWhiteBox.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestLocalDBPersistenceManagerBlackBox.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestPersistenceManagerBlackBox.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestReadAheadCacheBlackBox.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestReadAheadCacheWhiteBox.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/test/java/org/apache/hedwig/server/subscriptions/StubSubscriptionManager.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/test/java/org/apache/hedwig/server/topics/StubTopicManager.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/test/java/org/apache/hedwig/server/topics/TestConcurrentTopicAcquisition.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/test/java/org/apache/hedwig/server/topics/TestZkTopicManager.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/test/java/org/apache/hedwig/zookeeper/TestZkUtils.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/test/java/org/apache/hedwig/zookeeper/ZooKeeperTestBase.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/test/java/org/apache/hedwig/server/persistence/BookKeeperTestBase.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/EntryLogTest.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/LedgerLayoutTest.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-client/src/test/java/org/apache/hedwig/client/AppTest.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-client/src/test/java/org/apache/hedwig/util/TestFileUtils.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-client/src/test/java/org/apache/hedwig/util/TestHedwigSocketAddress.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-client/src/test/java/org/apache/hedwig/util/TestPathUtils.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/test/java/org/apache/hedwig/client/TestPubSubClient.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/test/java/org/apache/hedwig/server/HedwigHubTestBase.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/test/java/org/apache/hedwig/server/HedwigRegionTestBase.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/test/java/org/apache/hedwig/server/PubSubServerStandAloneTestBase.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/test/java/org/apache/hedwig/server/handlers/TestBaseHandler.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/test/java/org/apache/hedwig/server/handlers/TestSubUnsubHandler.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/test/java/org/apache/hedwig/server/integration/TestHedwigHub.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/test/java/org/apache/hedwig/server/integration/TestHedwigRegion.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/test/java/org/apache/hedwig/server/netty/TestPubSubServer.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestBookKeeperPersistenceManagerBlackBox.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestBookkeeperPersistenceManagerWhiteBox.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestLocalDBPersistenceManagerBlackBox.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestPersistenceManagerBlackBox.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestReadAheadCacheBlackBox.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestReadAheadCacheWhiteBox.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerMetadata.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/OrderedSafeExecutor.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/MathUtils.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/FIFODeliveryManager.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ReadAheadCache.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/FIFODeliveryManager.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerMetadata.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerMetadata.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerMetadata.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/MacDigestManager.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookkeeperBenchmark.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/BookkeeperPersistenceManager.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/LocalDBPersistenceManager.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AbstractSubscriptionManager.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-server/src/main/java/org/apache/hedwig/server/topics/ZkTopicManager.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/LedgerLayoutTest.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkPublisher.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkSubscriber.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigSubscriber.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
